Lue koko uutinen ( Talouselämä ) Laihian 	Osuuspankki 	siirtyy POP Pankki - ryhmästä OP Pohjola - ryhmään , kertoo Pohjalainen . 
pari viikkoa sitten selvittelin 	Osuuspankin 	kanssa asiaa , lunastuksesta . 
joka on 	osuuspankissa 	11.70€ . 
( 5.3 ) Seuraavana päivänä tuli tälläiset e-mailit : Hyvä Sami Aaltonen , Koskien tilaustasi CCL087218507 ja siihen liittyvää takaisinmaksupyyntöä , olemme rekisteröineet seuraavat pankkiyhteystiedot : 	OSUUSPANKKI 	SAMI AALTONEN FIXXXXXXXXXXXXXXXX OKOYFIHH Välitämme takaisinmaksupyyntösi välittömästi laskentaosastollemme , joka laittaa tilisiirrolla hyvityksen tilillesi . 
Minulla on nykyään pelkkä 	Osuuspankin 	_visa electron_ - kortti , jota useat paikat eivät ulkomailla välttämättä huoli maksamiseen . 
Etukäteislyhennys todella onnistuu ainakin Nordeassa ja 	Osuuspankissa 	, 
	Osuuspankissa 	kävin valittamassa asiasta ja pankki tilasi uuden kortin . 
Ainakin 	Osuuspankissa 	
Omani on 	Osuuspankki 	ja puhelimessa huonoa suomea puhuva nainen syytti Nordeaa ... 
Kyllä tää on outoa , minunkin pankkini on 	Osuuspankki 	, 
Maksutavaksi valitsin laskun , ja itsekin käytän 	osuuspankkia 	, 
Kävin siellä omassa 	Osuuspankissani 	tänään ja pankkineiti sanoi , että kyllä ne rahat ovat sinne Zalandolle lähteneet . 
Niin ja 	osuuspankin 	kautta kans maksoin , niin kuin tuolla jäljempänä myös muita kohtalotovereita 
Ja kun minäkin kävin vielä 	Osuuspankissa 	kysymässä , että onkohan rahani lähteneet Zalandolle . 
En usko , että oma ongelmatilaukseni on 	Osuuspankin 	vika . 
No se EI ole suomalainen firma vaikka sivut suomeksi ovatkin , joten nettipankkimaksua tavallien 	Osuuspankin 	tililtä ( tai vastaavalta ) et voi suorittaa . 
	osuuspankin 	kortilal ei kai osto onnistu ja Nordean kortilla en ole varma pystyykö ilman että systeemin jotenkin aktivoi tms. em pankin electronilla onnaa heti . 
Jos vastaat myöntävästi , mietipä , onko sinulla 	Osuuspankki 	( tai Nordea tai mikä hyvänsä ) . 
Olen nähtävästi avoliitossa 	osuuspankin 	ja bi-seksuaalin kanssa . 
Kerroin aiemmin että 	osuuspankki 	vaatii maksun saajan osoitteen . 
En toki ole maksamassakaan laskua vaan kunhan kokeilin että onko se edas teknisesti mahdollista ja näyttää siltä että se ei onnistu ainakaan 	osuuspankin 	verkkomaksuna . 
Minulla näkyy vain yhden myöntäjän lainat ja esim. 	osuuspankin 	talolainat puuttuu kokonaan . 
saada verotuspäätös , kun ostaa seuraavan asunnon osaksi lainarahalla ja 	Osuuspankin 	täti ei anna lainaa ilman verotustodistusta . 
	Osuuspankki 	korttini ei toimi , valittaa jotain identification codesta tjn . 
? Toimiiko kellään 	osuuspankin 	visa electron tuolta tilattaessa ? 
Suomen lakimiespiirit ovat pienet , ja valittamisen jälkeen seuraava duuni löytyisi takuulla takahikiän 	osuuspankista 	.... 
Tämä Miika oli jo antanut minulle sähköpostissa Nordean ja 	Osuuspankin 	tilinumerot . 
Yhteistietoni varalta : Heikki Helanen Teerenpolku 8 88900 Kuhmo Suorita maksu vaimon tilille : 574030-254811 Kaisa Helanen , 	osuuspankki 	tai Fi 05 1997 3500 0445 39 Kaisa Helanen , nordea . 
Hänen kättämänsä tilinumero oli 	Osuuspankissa 	XXXXXX-XXX20537. Hänen piti postittaa paketti samana päivänä Matkahuollon kautta . 
Kerro sekin , että 	Osuuspankin 	pääkonttori lähetti kiukkuisen viestin hömelölle pankinjohtajalle hankkiutua heti eroon Winkkarista . ;))) 
Meidän kylän 	Osuuspankki 	laittoi lapun luukulle . 
Siispä ei muuta kuin pipsipussi päähän ja katkaistun ilmakiväärin kanssa lähintä 	osuuspankkia 	ryöstämään . 
Takuusäätiöstä nyt vaan takuut ja OP:stä pitkää lainaa , niin ei juokse 16 % tuottokorko valtiolle , vain 3 % 	Osuuspankille 	, 
Yhteisöjäsenenä oli eräs paikallisosuuspankki ja muistelen , että kyseessä oli Kxxxx 	Osuuspankki 	, 
Kovelahden 	Osuuspankkia 	on myös muisteltu . 
	Osuuspankki 	Olin pari vuotta sitten kesätöissä osuuspankissa . 
Osuuspankki Olin pari vuotta sitten kesätöissä 	osuuspankissa 	, 
osuuspankkilainen Itse alotin kanssa 	osuuspankissa 	ihan pikapalvelusta . 
Aluksi harjoittelin toisen pankkivirkailijan kanssa , mutta sitten pikkuhiljaa olin yksinäänkin , tai no tuolla 	osuuspankissa 	on kaks pikakassaa niin apu on lähellä ... 
No , Mandan johtajat pistivät pystyyn Taaleritehtaan ja tämä " luukuta sijoituslainoja " - esimieheni hyppäsi paikalliseen 	Osuuspankkiin 	sijoitusjohtajaksi ... 
Eli kun vaikkapa Skanska rakentaa Porissa uuden RS-kohteen , jonka rahoittaa Porin 	Osuuspankki 	, niin Osuuspankin " johtajat " sekä Porin OP-Kiinteistökeskuksen väki saavat poimia omiksi sijoitusasunnoikseen mitä haluavat ennen kuin kohteen ennakkomarkkinointi alkaa . 
Eli kun vaikkapa Skanska rakentaa Porissa uuden RS-kohteen , jonka rahoittaa Porin Osuuspankki , niin 	Osuuspankin 	" johtajat " sekä Porin OP-Kiinteistökeskuksen väki saavat poimia omiksi sijoitusasunnoikseen mitä haluavat ennen kuin kohteen ennakkomarkkinointi alkaa . 
Taisi olla 	Osuuspankki 	ja sillionen Kera jotka lopettivat se Martin velan oton ( olikohan 1988 ) . 
	osuuspankin 	sillalla poika mutkitteli ja liukasteli rattikelkalla , ei mitää heijastimia . 
	Osuuspankin 	liepeillä on kyllä ollut liikehdintää . 
Joo , ei onnistu 	Osuuspankinkaan 	käyttö W9x:llä " 28.03.2012 alkaen OP-verkkopalveluiden käyttöä tuetaan seuraavilla selaimilla : Internet E xp 
Kokouksen alustanut Pellervo-Seuran lakiasiainjohtaja puolestaan kertoi , että Osuuskunta PPO : n kaltaisessa jäsenmäärältään suuressa osuuskunnassa jäsendemokratia toteutuisi parhaiten ottamalla käyttöön edustajisto-malli , kuten useimmissa 	osuuspankeissa 	ja –kaupoissa on tehty ... 
	Osuuspankki 	, tarkemmin en erittele minkä alueen Op . 
Toivottavasti simmonen " oranssi 	osuuspankki 	" ? 
pankki suostuu antamaan lainan vain miehen nimiin juuri avioehdon takia ( toisessa pankissa ei edes välitetty koko asiasta ) pankit : nordea ja 	osuuspankki 	Ja tiedän , että kaikki marmattavat töihin menosta mutta en siihen kykene ( ainakaan juuri nyt ) . 
opssa 	Osuuspankissa 	kestää alle viikon , kortti oli konttorissa muutaman päivän kuluttua hakemisesta ja tunnusluku tuli sitten pari päivää myöhemmin . 
	Osuuspankissa 	ainakin nettipankissa näkyy tieto , kun kortti on noudettavissa konttorissa . 
itsellä säästöpankki mistä hain ja tuo ensimmäisen vastauksen kirjoittanut mainitsi pankiksi 	osuuspankin 	... 
	Osuuspankin 	toimihenkilöt hyväksyvät hakemuksesi noin parin pankkipäivän kuluessa . 
KortitKehiin 	Osuuspankissa 	verkkopankissa oli tieto noin 3-4 päivän päästä tilaamisesta , että kortti on konttorissa , kävin noutamassa . 
Nyt on tapiola ja 	osuuspankki 	kyselty . 
me käytiin marras-joulukuun aikana sampopankissa , nordeassa ja 	osuuspankissa 	( osuuspankki on ns. oma pankki ) , yksikään pankki näistä ei olisi myöntänyt 100% lainaa , vähintään 10% asunnon hinnasta tulee olla ja epäilivät , että ehdot tänä vuonna kiristyy entisestään . 
me käytiin marras-joulukuun aikana sampopankissa , nordeassa ja osuuspankissa ( 	osuuspankki 	on ns. oma pankki ) , yksikään pankki näistä ei olisi myöntänyt 100% lainaa , vähintään 10% asunnon hinnasta tulee olla ja epäilivät , että ehdot tänä vuonna kiristyy entisestään . 
" ( 	osuuspankki 	on ns. oma pankki ) , yksikään pankki näistä ei olisi myöntänyt 100% lainaa , vähintään 10% asunnon hinnasta tulee olla " Mielenkiintoista . 
Ite kyselin 	osuuspankista 	niin oisin saanut 120 000eur , 4000eur ois tarvinu olla omaa rahaa . 
Pankkina oli 	Osuuspankki 	, 
Hakuprosessi vaan kesti aivan luvattoman pitkään - tiemmä 	Osuuspankilla 	aika tavallista 
Miten muuten esim. virkailija pystyisi pelkällä henkilökortia katsomalla hakemaan sinun tilinumeron , jos et luukulla muista tilinumeroa ja olet mennyt Virtain osuuspankkin ja olet avanut tilin Helsingin 	osuuspankissa 	, 
Kaikki 	osuuspankit 	siis kuuluvat Op-Pohjola konserniin . 
" Kaikki 	osuuspankit 	siis kuuluvat Op-Pohjola konserniin . 
No joo , ei ehkä samaan konserniin kaikki pankit aina kuulu vaikka on 	osuuspankista 	tai säästöpankista kyse , mutta et todellakaan pysty peittämään tallelokeron olemassa oloa . 
uheenjohtaja Antti Rantakangas maksaa vapaaehtoista vahingonkorvausta Kärsämäen 	Osuuspankille 	toimitusjohtajana aiheuttamistaan tappioista . 
	Osuuspankkien 	Vakuusrahasto , Kärsämäen Osuuspankki ja Rantakangas ovat ratkaisseet keskustalle kiusallisen asian sopimalla vapaaehtoisesta vahingonkorvauksesta . 
Osuuspankkien Vakuusrahasto , Kärsämäen 	Osuuspankki 	ja Rantakangas ovat ratkaisseet keskustalle kiusallisen asian sopimalla vapaaehtoisesta vahingonkorvauksesta . 
Tuo Kärsämäen 	Osuuspankki 	fuusioitiin Haapaveden Osuuspankkiin joitakin vuosia sitten ja tuosta pankkifuusiosta tuli Jokilaaksojen Osuuspankki . 
Tuo Kärsämäen Osuuspankki fuusioitiin Haapaveden 	Osuuspankkiin 	joitakin vuosia sitten ja tuosta pankkifuusiosta tuli Jokilaaksojen Osuuspankki . 
Tuo Kärsämäen Osuuspankki fuusioitiin Haapaveden Osuuspankkiin joitakin vuosia sitten ja tuosta pankkifuusiosta tuli Jokilaaksojen 	Osuuspankki 	, 
	Osuuspankissa 	bonukset ei kerry suorista osakesijoituksista , eli ei kannata , kalliit kulut eikä bonuksia paitsi rahastoista tai vastaavista 
Tämä tarkoittaisi käytännössä , että esimerkiksi S-ryhmän osuuskauppojen ja OP-Pohjolan 	osuuspankkien 	voitonjaon verokohtelu olisi menossa uusiksi . 
sendtofriend=true Divitor Oy protestit ( Kauppalehti ) 4.7.2011 75515 € , Velkojana : Verohallinto , , uudenmaan perintäyksikkö 27.6.2011 595000 € , Velkojana : Suupohjan 	Osuuspankki 	Oy 8.6.2011 786 € , Velkojana Trust Perintätoimisto Oy 29.4.2011 3211153 € , Velkojana : Aktia Pankki Oyj 9.3.2011 42 295 € , Velkojana : Consrak Oy 9.3.2011 510 000 € , Velkojana : Ålandsbanken Abp JHG-Kiinteistöt Oy konkurssissa http://www.kauppalehti.fi/yritykset/yritys/jhgkiinteistot+oy/19766655 
Lisäksi yhtiö nosti kanteet sopimusrikkomuksesta Suomussalmen 	Osuuspankkia 	ja Tilintarkastus yhteisöjä Oy Audiator Ab : tä ja Tilintarkastusrengas Oy : tä sekä tilintarkastajia vastaan . 
Vastuukysymysten oikeuskäsittely yhtiön ja Suomussalmen 	Osuuspankin 	välillä alkoi Kuusamon Käräjäoikeudessa helmikuussa ja tuomio luettiin 14.3. 2006 . 
Suomussalmen 	Osuuspankki 	tuomittiin maksamaan yhtiölle sopimusrikkomuksesta aiheutuneesta vahingosta korkoineen yhteensä 876.261,53 euroa . 
Tämä summa talletettiin Suomussalmen 	Osuuspankin 	ja yhtiön yhteisestä sopimuksesta Suomussalmen Osuuspankkiin ns. yhteiselle sulkutillille . 
Tämä summa talletettiin Suomussalmen Osuuspankin ja yhtiön yhteisestä sopimuksesta Suomussalmen 	Osuuspankkiin 	ns. yhteiselle sulkutillille . 
Rovaniemen Hovioikeus tuomitsi 21.9.2007 Suomussalmen 	Osuuspankin 	maksamaan yhtiölle sopimusrikkomuksesta aiheutuneesta vahingosta 678 565,03 euron korvauksen . 
png Sampo Terhon road show jatkuu keskeytyksettä loppuun asti MA 19.05. Iisalmi 15.30 – 17 TI 20.05. K-market piha , Viitasaari klo 09-9.30 20.05. Pitopirtti , Kannonkoski , klo 10.00-10.30. 20.05. Vanhan 	Osuuspankin 	piha , Karstula , klo 11.00-12 20.05. Citymarket Ääneskoski , klo 13-14 20.05. Cafe Elonen , Jyväskylä , klo 15 – 16 20.05. K-marketin piha , Toivakka 16.30 – 17 Tervemenoa 
Eli firman " osakekannan " omistaa Op , eli 	Osuuspankki 	, 
	Osuuspankki 	oli aikaisemmin osuuskuntamuotoinen yritys . 
Parkanon 	Osuuspankin 	? 
Kuka siellä Parkanon 	osuuspankissa 	on nykyisin konttorinjohtajana ? 
Vakuutus yhtiö nuo pankille korvaa , joten ei 	Osuuspankki 	tuossa tappiota kärsi . 
Säkylään on rakenteilla uusi S-market kuten jo mainittiin , uusia rivitaloja ja kerrostaloja on jo rakennettu ja rakenteilla , säkylästä löytyy S-marketin lisäksi mm. Siwa , K-market , Apteekki , Kahvila välipala ( matkahuolto ) , ainakin 3 parturi-kampaajaa , kirjakauppa , valokuvausliike , alusasukauppa , säästöpankki , 	osuuspankki 	ja nordea , osuuspankin kiinteistökeskus , eräpuoti , r-kioski , kultasepänliike , tietotekniikkaliike , spec-savers , kaksi kukkapuotia , kuten jo mainittiin torstaisin maakunnan suurin ja paras tori , yms. . 
Säkylään on rakenteilla uusi S-market kuten jo mainittiin , uusia rivitaloja ja kerrostaloja on jo rakennettu ja rakenteilla , säkylästä löytyy S-marketin lisäksi mm. Siwa , K-market , Apteekki , Kahvila välipala ( matkahuolto ) , ainakin 3 parturi-kampaajaa , kirjakauppa , valokuvausliike , alusasukauppa , säästöpankki , osuuspankki ja nordea , 	osuuspankin 	kiinteistökeskus , eräpuoti , r-kioski , kultasepänliike , tietotekniikkaliike , spec-savers , kaksi kukkapuotia , kuten jo mainittiin torstaisin maakunnan suurin ja paras tori , yms. . 
Eräs merkittävä virstanpylväs itsenäiselle Köyliön 	Osuuspankille 	on ensi torstaina oleva kokous , jossa pankin jäsenet äänestävät pankin tulevaisuudesta . 
Pankinjohtaja Pohjus on tiettävästi jyrkästi sillä kannalla , että pankki on liitettävä Euran 	Osuuspankkiin 	, 
Siis odotellaan Perjantaita ja katsotaan jääkö Köyliön 	Osuuspankki 	itsenäiseksi , jos jää Perjantai voidaan julistaa kunnalliseksi vapaapäiväksi . 
Pankkipomo Kaksi vaihtoehtoa : 1 pankkipomo lähtee perjantaina 2 meikäläisen rahat lähtee säkylän 	osuuspankkiin 	
Pahaa pelkään , Perustelen näkökulmani : Kun joulukuussa hain ilmaista kahdeksan viikon harjoittelupaikkaa neuvonta- ja asiantuntijatyöhön Euran 	osuuspankista 	, toimitusjohtaja Kankaanpää sanoi : Köyliön , Euran ja Säkylän osuuspankit yhdistyvät ensi vuonna . 
Pahaa pelkään , Perustelen näkökulmani : Kun joulukuussa hain ilmaista kahdeksan viikon harjoittelupaikkaa neuvonta- ja asiantuntijatyöhön Euran osuuspankista , toimitusjohtaja Kankaanpää sanoi : Köyliön , Euran ja Säkylän 	osuuspankit 	yhdistyvät ensi vuonna . 
MURSKAVOITTO ITSENÄISILLE Köyliön 	Osuuspankin 	kokouksessa pankin itsenäisyyttä ajavat saivat valtavan voiton äänestyksessä . 
Ääniä 174 pankin itsenäisyyden puolesta ja 60 euran 	osuuspankkiin 	liittymisen puolesta . 
Setäni on 	Osuuspankissa 	uransa tehnyt ja aina kulkenut pankin sisällä siten , että on saanut kouluttautua ja kehittyä . 
Onko tämä mahdollista Köyliön 	Osuuspankissa 	? 
Onko irtisanoutuminen Onkohan Köyliön 	Osuuspankin 	toimitusjohtaja irtisanoutunut , niinkuin on luvannut ? 
Onko vaihdettava Länsi-Suomi 27.11.2008 artikkelista 	Osuuspankkien 	liitoksesta . 
Käytännössä pankkiliitos toteutetaan siten , että kolme pienempää paikallispankkia sulautetaan sopimuksella Euran 	Osuuspankkiin 	, joka jää myös uuden pankin nimeksi . 
Eura saa 18 paikkaa , Köyliö 8 , Kiukainen 5 ja Hinnerjoki 4. Paikkaluku määräytyy 	osuuspankkien 	nykyisen jäsenmäärän perusteella . 
Hänet on palkattu johtamaan 	Osuuspankkia 	, ja hänen tulee luonnollisesti nauttia pankkilaisten luottamusta . 
Köyliö sai Jormasta uuden pankkiirin Köyliön 	Osuuspankin 	uutena toimitusjohtajana työnsä aloittanut Jorma Pohjus on ollut Lallin pitäjässä kohta kolmisen kuukautta . 
Takana on liki kaksi vuosikymmentä kestänyt työsuhde Porin Seudun 	Osuuspankin 	Pomarkun konttorin johtajana ja koko rupeama pestiä maa- ja metsätalouden asiantuntijana . 
No vaihtuuko 	Osuuspankissa 	nyt sitten mikään toimielin ? 
Vai tyytyvätkö itsenäisen 	Osuuspankin 	kannattajat tähän ? 
Euramyönteiset painoivat asiaa todella härskisti , mutta ehkä olisi kuitenkin viisasta jättää tämä asia tähän ja keskittyä 	Osuuspankin 	paikallisiin visioihin . 
Omistajajäsen Kirjoittu jo 1.3 ilmestyneessä satakunnankansan mielipidepalstalla että virkistävän tuulen on käytävä seutumme 	osuuspankkien 	johdossa ja hallinnossa !! 
Että 	osuuspankkien 	hallinnot kehtaavatkin esittää omistajille päättömiä . 
Raikkaat tuulet käymään niin Euran kuin Köyliönkin 	osuuspankkien 	hallinnoissa !!!!!!! 
Op-ryhmän etu on isommat pankkikoot ja lopulta fuusio yhdeksi 	Osuuspankiksi 	jossa valta on pienellä klikillä . 
Köyliön 	Osuuspankin 	asiakkaan etu on itsenäinen paikallispankki . 
Kävin äänestämässä itsenäisen Köyliön 	osuuspankin 	puolesta ja olin tyytyväinen äänestyksen lopputulokseen . 
Heidän joukossaan on Köyliön 	Osuuspankin 	entinen johtaja . 
ankinjohtaja toimi pankinjohtajan ominaisuudessa silloin , kun Köyliön 	Osuuspankissa 	tehtiin epäiltyihin rikoksiin liittyviä lainajärjestelyjä . 
Huonosti näyttää Ihmetyttää Köyliön 	osuuspankin 	nykyinen toiminta . 
Minulla ei ole sen suurempaa mielipidettä pankin mahdollisesta fuusiosta , mutta ulkopuolisena on sanottava , että nämä arvostelevat , nälvivät ja lapsellisesti käyttäytyvät Köyliön vaikuttajat , jotka ovat niin kokouksissa kuin internetissäkin nimimerkkien turvin haukkuneet koko Köyliön 	Osuuspankin 	työntekijöineen lyttyyn , ovat ainakin minun ( ja varmasti muidenkin mielestä ) nolanneet itsensä täydellisesti . 
kyllä köyliö tarvitsee oman itsenäisen 	osuuspankkinsa 	missä on kaikilla ilo asioida . 
syntyjä syviä Kaiken pahan alku ja juuri Köyliön 	Osuuspankissa 	on toimitusjohtaja ja hänen ylimielinen suhtautuminen omistajajäseniin ja heidän tahtoonsa . 
	Osuuspankissa 	on renki ottanut isännän roolin , koska muu hallinto on hampaaton pitämään jäsenten ja paikkakuntalaisten puolia . 
Ajan rattaat toivat totuuden Nyt , vihdoinkin Pohjus on saanut kenkää Köyliön 	Osuuspankin 	Tomitusjohtajan pallilta . 
Ajan rattaat toivat totuuden Nyt , vihdoinkin Pohjus on saanut kenkää Köyliön 	Osuuspankin 	Tomitusjohtajan pallilta . 
Olisihan tuo pankki pitänyt aikanaan yhdistää joko Euran 	Osuuspankkiin 	tai Länsi-Suomen Osuuspankkiin . 
Olisihan tuo pankki pitänyt aikanaan yhdistää joko Euran Osuuspankkiin tai Länsi-Suomen 	Osuuspankkiin 	, 
Ajan rattaat toivat totuuden Nyt , vihdoinkin Pohjus on saanut kenkää Köyliön 	Osuuspankin 	Tomitusjohtajan pallilta . 
Vaikuttaako tämä 	Osuuspankin 	verkkopankin toimintaan ? 
Olen asunut nyt Kaliforniassa 3kuukautta ja 	Osuuspankki 	tai jokin luottokunta päätti eilen sulkea Visa Electron korttini syystä , jota en vielä tiedä . 
Kohta siihen liittyy 	Osuuspankkikin 	, 
Pankkisalaisus koskee myös työn ulkopuolella joten anna palutetta sinne 	osuuspankin 	pomoille , että asia tulee esille pankissa . 
Kohta ovat säästöpankit ja 	osuuspankit 	yksi ja sama lafka , ei mene kauaa . 
Soitin hetki sitten 	Osuuspankille 	ja käskin heidän sulkemaan korttini . 
Näin se menee 	osuuspankissa 	visalla nostettaessa : Nostan 10000 bht , oletetaan että kurssi 1euro= 37 bth Kulut : 150 bth+2%+2 euroa . 
http://www.aktia.fi/iban_laskuri AKTIA https://www.op.fi/op?id=51111&tk=/init&srcpl=3 	OSUUSPANKKI 	http://www.nordea.com/Yritykset+ja+yhteis%C3%B6t/Cash+Management/Maksut/Nordean+IBAN+laskuri/936273.html NORDEA Muiden pankkien laskurit löydätte kun laitatte googleen " ( pankki ) iban laskuri " 
Suomi24 , 	Osuuspankki 	, Helsingin Sanomat , poliisi . 
Uutisten mukaan 	Osuuspankki 	käyttää Javaa . 
Eli , kyllä se 	Osuuspankki 	on mennyt Javalla jotain 15v tms. ja sitten on jotain 80- ja 90-luvuilla tehtyä Cobolia ollut ainakin pari vuotta sitten jota sitten on vähitellen uudelleenkirjoitettu Javalle . 
	Osuuspankki 	tarvitsee Javascriptin toimiakseen mutta ei Javaa . 
" 	Osuuspankki 	tarvitsee Javascriptin toimiakseen mutta ei Javaa . 
Siellä 	OSUUSPANKIN 	tietokoneella on Java . 
" Siellä 	OSUUSPANKIN 	tietokoneella on Java . 
Ei ketään kiinnosta mitä jossain pankin palvelimilla pyörii eli väite : " 	Osuuspankki 	ei käytä Javaa " pitää paikkansa . 
	Osuuspankissa 	ainakin oli Solaris varmuudella vielä 5v sitten ja olivat sitä ennen käyttäneet Windows 2000 : sta , tämä vihjaisee paljon Javan käytöstä kun olisi muuten vaikeata siirtää järjestelmiä Windowsin ja Solariksen välillä . 
	Osuuspankilla 	on näemmä omansa ) ? 
	Osuuspankilla 	on näemmä omansa ) ? 
Se tieto mitä sieltä 	osuuspankin 	palvelimelta tulee ja mitä sinne menee , on pohjimmiltaan tekstimuotoista . 
Myöntääköhän 	osuuspankki 	mulle vielä lainaa 20000e jos saisin takaajat . 
muutin KAIKKI tilini 	Osuuspankkiin 	joka on sentään kotimainen pankki ja ilmeisesti pysyy tällä omalla &lt ; 40000 asukkaan paikkakunnallani . 
Ja missä 	Osuuspankissa 	? 
Tosin aina kun 	osuuspankin 	väkeä kritisoidaan ja heidän työpaikkaansa niin vastakommentiksi tulee juuri sun kommenttisi tapaisia . 
Taitaa 	osuuspankissa 	olla vetelät housussa jo nyt , kun heidän väkensä pitää jopa nettipalstoja myöden tulla jauhamaan paskaa tuoreimmasta kilpailijastaan ja taitaa olla lisäksi aika pahakin kilpailija kun noin veteläksi vetää ... 
Tietoa tietämättömälle Näkee , että et tunne pankeista kuin 	osuuspankin 	etkä sen takia tiedä muista pankeista mitään etkä osaa verrata niitä ainoaan tuntemaasi pankkiin . 
	Osuuspankista 	pois ? 
Se ei tee siitä kakkosluokan pankkia , sen sijaan teidän ylimielisyyden ansiosta 	osuuspankki 	ansaitsee sen kyseenalaisen kunnian , tai oikeammin osuuspankki saa jo d-luokan nimityksen , d siis huonompi kuin A , B , C. ei saa palveluja kun sieltä puuttuvat ne kokonaan . 
Se ei tee siitä kakkosluokan pankkia , sen sijaan teidän ylimielisyyden ansiosta osuuspankki ansaitsee sen kyseenalaisen kunnian , tai oikeammin 	osuuspankki 	saa jo d-luokan nimityksen , d siis huonompi kuin A , B , C. ei saa palveluja kun sieltä puuttuvat ne kokonaan . 
( Sampon varatili sillä vanhalla ehdolla on muuten parempi koroltaan kuin mikään S-PANKIN tili ) Tässä kopio omasta bonuskertymästäni viimeisimmän päivitetyn tilanteen mukaan : Lähettäjä : TAMPEREEN SEUDUN 	OSUUSPANKKI 	PÄÄKONTTORI Otsikko : Bonuksilla saamasi etu Päivämäärä : 06.11.2008 Viesti : Bonuksilla saamasi etu lokakuussa 2008 vuoden 2008 alusta Pankin palvelumaksuista 8,50 euroa 86,50 euroa Pohjolan vakuutusmaksuista 0,00 euroa 327,55 euroa 
Joku täällä kehui saavansa 	Osuuspankista 	ilmaiset kahvit , no joo ... 
Ettei vain olisi niin että juuri sinunlaisesi tollot jotka eivät osaa neuvotella itselleen etuja ja jotka ovat ilmeisesti sen verran persaukisia , ettei 	Osuuspankin 	bonusjärjestelmä ja omistaja-asiakkuus tuottaisi heille mitään , tässä nyt ruikuttavat ja yrittävät uskotella että OP olisi kallis . 
	osuuspankin 	työntekijät täällä tuntuvat jokainen haukkuvan pienempiä pankkeja Voi voi , harhaisuus alkaa olla huolestuttavaa , uskotko itse muka juttujas ? 
kiitos samoin 	osuuspankin 	työntekijät täällä tuntuvat jokainen haukkuvan pienempiä pankkeja Voi voi , harhaisuus alkaa olla huolestuttavaa , uskotko itse muka juttujas ? 
Kerrohan sinä metsänomistaja/osuuspankkilainen ( elikkä suomeksi sanottuna olet 	Osuuspankin 	edustajana täällä ) , että mitä ihmettä mä teen autovakuutuksella kun en omista autoa ? 
Ja vaikka omistaisinkin , niin ikimaailmassa en sitä vakuutusta hankkisi ainakaan 	Osuuspankista 	, 
30 vuotta 	Osuuspankin 	asiakas Haluan lisätä oman mielipiteeni tähän jo isoksi paisuneeseen keskustelu ketjuun . 
Onko 	Osuuspankilla 	automaattia ? 
Ajattelin vaihtaa itse Säästöpankkiin 	Osuuspankin 	puolelta Lohjan kaupungissa . 
Tuottotavoite on 3,25 prosenttia riippuen 	osuuspankin 	tuloksesta , oletko kiinnostunut . 
Ei varmaan mene pitkään , kun 	Osuuspankin 	haetaan lisää rahaa ja pankki viskoo nyt osallistumatta pihalle , eikä kyse ole satasen lisämaksusta . 
Kyseessä ei ollutkaan itsenäinen 	Osuuspankki 	, vaan itsenäisten osuustoimintapohjaisten Osuuspankkien omistama keskuspankki osakeyhtiö Op-Pohjola . 
Kyseessä ei ollutkaan itsenäinen Osuuspankki , vaan itsenäisten osuustoimintapohjaisten 	Osuuspankkien 	omistama keskuspankki osakeyhtiö Op-Pohjola . 
olen sitä mieltä että 	osuuspankki 	poisti kaikki kaikki pankin huijaamat osakkeet esim op euro a op osinko . 
	Osuuspankilla 	on oikeus kieltäytyä osuuksien palauttamisesta . 
( katso tarkemmin 	osuuspankin 	säännöt ) Jälkipalautusaika on 5 vuotta . 
	Osuuspankilla 	tulee esimerkiksi olla riittävästi voitonjakokelpoisia varoja . 
" 	Osuuspankilla 	on oikeus kieltäytyä osuuksien palauttamisesta . 
( katso tarkemmin 	osuuspankin 	säännöt ) Jälkipalautusaika on 5 vuotta . 
	Osuuspankilla 	tulee esimerkiksi olla riittävästi voitonjakokelpoisia varoja . 
" Koronmaksun edellytyksenä on , että 	osuuspankilla 	on voitonjakokelpoisia varoja . 
" Kuinka moni on yleensä selvittänyt millainen oman 	Osuuspankkinsa 	taloudellinen tilanne on ennen näiden osuuksien ostamista ? 
	Osuuspankkien 	taloustilanne vaihtelee alueellisesti , mutta keskimäärin pidän lupailtua ( ei taattua ) reilun kolmen prosentin tuottoa huonona diilinä asiakkaan kannalta . 
" Koronmaksun edellytyksenä on , että 	osuuspankilla 	on voitonjakokelpoisia varoja . 
" puheet ja " tarinat " ovat 	osuuspankissa 	aina olleet suuria , mutta numeroita ei siellä paljon puhuta . 
Maksan laskun perjantai-iltana nordeasta 	osuuspankkiin 	, 
Torstai iltana kaveri siirsi mulle rahaa nordeasta 	osuuspankkiin 	, 
Pitäisikö minunkin aina kertoa , että olen maksanut laskuja 	osuuspankin 	pankkiin ? 
Ei , vaan se nimi on OsuusPANKKI , ei Osuus Samaten menen LIDLIIIN en LIDL-KAUPPAAN Eikös olekin uskomatonta että jonkun pankin nimessä voi olla sana pankki ( 	osuuspankki 	) Eli sun mielestä pitäisi varmaan sanoa " siirsin rahaa osuuspankin pankkiin " 
