Joissakin järjestelmissä ( 	nordea 	) kerran käytettyä tunnusta ei voi käyttää toista kertaa , jolloin kertaalleen käytetyn tunnuksen saaminen selville ei mahdollista mitään rikosta . 
Näille tileille ei kannata penniäkään laittaa : Op FI3455210720069300 	Nordea 	FI0411573500012870 Oppirahat meikäläisen tapauksessa oli onneksi vain 40 , mutta vituttaa silti . 
Miika Honkanen Sähköposti justiinsa83@yahoo.com Tilinumerot Op FI3455210720069300 	Nordea 	FI0411573500012870 Sen siitä saa kun luottaa liikaa , eipä luottoa löydy enää . 
Yhden sankarin tilinumeron etuosa löytyy 	Nordean 	pankista alkuosa 102535- . 
Tämä Miika oli jo antanut minulle sähköpostissa 	Nordean 	ja Osuuspankin tilinumerot . 
alkunen ja tilit on 	Nordeassa 	ja OP:ssä . 
Miika Honkanen Sähköposti justiinsa83@yahoo.com Tilinumerot Op FI3455210720069300 	Nordea 	FI0411573500012870 Sen siitä saa kun luottaa liikaa , eipä luottoa löydy enää . 
Eli kaveri kauppasi tiedoilla : Nikkarinen Pasi Teerenpolku 8 88900 KUHMO Tilinumero : 205018-4403 , 	nordea 	, 
Yhteistietoni varalta : Heikki Helanen Teerenpolku 8 88900 Kuhmo Suorita maksu vaimon tilille : 574030-254811 Kaisa Helanen , osuuspankki tai Fi 05 1997 3500 0445 39 Kaisa Helanen , 	nordea 	, 
myyjä esiintyy nimellä stella salo oulu tilinumero 	nordea 	124435-29978 lisäksi myynnissä olleen puhelimen kuva oli kopioitu matkapuhelinfoorumin ilmoituksesta nyt rikosilmoitusta naputtelemaan . 
Käyttää nyt näköjään nimeä jukka turpela ja tili 	nordeassa 	108135-5782 joka on paananen kari tapani nimellä . 
Kari Tapani Paananen käyttää tilinumeroa 	nordea108135-57827. 	Älkää nyt ihmeessä antako jätkälle enempää rahaa . 
Asuinpaikkana ilmoituksessa Inari ja puh numero 0466667913. Tilinumero 	nordea 	FI2011263500163093. 160 euroa meni ja nyt rikosilmoitusta heti tekemään . 
ari vesterberg ja tili 	nordeassa 	
S-posti solarpanel1@luukku.com Tilitiedot 	Nordea 	137935-27003, 
Samalla pankkitilinumerollaan : 	nordea 	124435-29978 Käyttää mitä nimiä milloinkin ja myy ainakin nettimarkkinassa iphoneja suht halvalla . 
Samalla pankkitilinumerollaan : 	nordea 	124435-29978. Kanssani asioidessa käytti nimeä Mikaela Salonen 
Maksoin OP : n tilille summan , mutta hän aikoi palauttaa rahat 	Nordean 	kautta tänä iltana 12.08.2011 , mutta eipä vieläkään rahojani ole näkynyt . 
	Nordea 	lähti jo aikapäivää sitten . 
Rikos ilmoitus tehty jo yli puoli vutta sitten ja eikä mitään konkreetistä ole tapahtunut ja minulta karhutaan 	Nordea 	pankista maksuja .. 
minulta karhutaan 	Nordea 	pankista maksuja .. 
	Nordealla 	on konttoreita myös Yhdysvalloissa . 
" 	Nordea 	on jenkkien talutushihnassa ja on sulkenut tilejä amerikkalaisten Venäjälle asettamien kauppapakotteiden vuoksi . 
No , ehkäpä 	Nordeakin 	joutuu vielä nöyrtymään ja pyytämään tuota konsernia asiakkaakseen . 
Viesti : i will like to buy the item here in Finland the Payment will be made via 	NORDEA 	BANK so send me your account number so i can process with the Payment asap . 
Viestit ei välttämättä ole saapumis järjestyksessä , kun " 	Nordeasta 	" viestit tuli roskaposti kansioon . 
Tässä jotain : " Viesti : i will like to but the item here in unitedkingdom the payment will be made via 	NORDEA 	BANK soo send me your account number soo i can process with the payment asap " - Annoin Pankkitilinumeroni Hello , Am through with the payment of the item , Guess you have read and understand the payment confirmation Here is address for the shipment of the item . 
Tässä " 	Nordeasta 	" Tulleet viestit ( 2kpl ) IT ' S SAFE FOR YOU TO SHIP OUT THE ITEM ( LA13403784FI ) ***APPROVED‏ Toiminnot Nordea bank ( Nordeabank@europe.com ) Lisää yhteyshenkilöihin 9:17 Säilytä tämä viesti Saapuneet-kansion yläreunassa Vast . 
Tässä " Nordeasta " Tulleet viestit ( 2kpl ) IT ' S SAFE FOR YOU TO SHIP OUT THE ITEM ( LA13403784FI ) ***APPROVED‏ Toiminnot 	Nordea 	bank ( Nordeabank@europe.com ) Lisää yhteyshenkilöihin 9:17 Säilytä tämä viesti Saapuneet-kansion yläreunassa Vast . 
Tässä " Nordeasta " Tulleet viestit ( 2kpl ) IT ' S SAFE FOR YOU TO SHIP OUT THE ITEM ( LA13403784FI ) ***APPROVED‏ Toiminnot Nordea bank ( 	Nordeabank@europe.com 	) Lisää yhteyshenkilöihin 9:17 Säilytä tämä viesti Saapuneet-kansion yläreunassa Vast . 
com 	Nordeabank@europe.com 	Viestin osia on estetty turvallisuussyistä . 
Näytä sisältö|Luotan osoitteeseen 	nordeabank@europe.com 	, 
	Nordea 	Bank is aware that fraudulent emails are being received by people in different parts of the world which either purport to have been sent by the Bank Anyone receiving e-mails claiming that payment will be made by Nordea Bank . 
Nordea Bank is aware that fraudulent emails are being received by people in different parts of the world which either purport to have been sent by the Bank Anyone receiving e-mails claiming that payment will be made by 	Nordea 	Bank . 
State : hertsfordshire England Zip-Code : wd18 0de Country : United Kingdom Therefore you are advice to send the shipment prove to us on this E-mail : 	Nordeabank@europe.com 	for shipment verification . 
THANKS FOR USING 	NORDEA 	BANK . 
WARNING : This warning is from Federal Bureau of Investigation in co-operation with 	Nordea 	Bank , so we give you the grace of 24 Hrs for you to ship out the item or else you will face the consequences . 
MFSD Editor , 	Nordea 	Bank , Monetary and Financial Statistics Division , Date E xc 
hange and Aleksanterinkatu 36 B Helsinki FI-00020 	Nordea 	, 
" 	Nordean 	" viesti osa ( 2/2 ) NOTIFICATION OF NORDEA E-ONLINE BANK TRANSFER NUMBER # : - LA138037543FI‏ Toiminnot Nordea bank ( Nordeabank@europe.com ) Lisää yhteyshenkilöihin 9:15 Vast . 
" Nordean " viesti osa ( 2/2 ) NOTIFICATION OF 	NORDEA 	E-ONLINE BANK TRANSFER NUMBER # : - LA138037543FI‏ Toiminnot Nordea bank ( Nordeabank@europe.com ) Lisää yhteyshenkilöihin 9:15 Vast . 
" Nordean " viesti osa ( 2/2 ) NOTIFICATION OF NORDEA E-ONLINE BANK TRANSFER NUMBER # : - LA138037543FI‏ Toiminnot 	Nordea 	bank ( Nordeabank@europe.com ) Lisää yhteyshenkilöihin 9:15 Vast . 
" Nordean " viesti osa ( 2/2 ) NOTIFICATION OF NORDEA E-ONLINE BANK TRANSFER NUMBER # : - LA138037543FI‏ Toiminnot Nordea bank ( 	Nordeabank@europe.com 	) Lisää yhteyshenkilöihin 9:15 Vast . 
com 	Nordeabank@europe.com 	Viestin osia on estetty turvallisuussyistä . 
Näytä sisältö|Luotan osoitteeseen 	nordeabank@europe.com 	, 
Date : 12/2015 Transfer Status : Wire Transfer Confirm Merchandise Amount : £233.00 Euro Transport Charge : Included Tax Charges : Not included Order Total : £233.00 Euro The money will be transferred into the following name and account details below You have a new e-Transfer from 	Nordea 	Bank Credit Card - Bank of Nordea plc®Platinum Plus : Account Holder Name ********* Bank Name ****** Account Number Swift code Iban Number Country Finland Important Notice : It may take a few moments for this transaction to appear in the Recent Activity list on your Account once the shipment Details as been receive from you and confirmed , Once payment has been made it is irreversible and already stated for transfer . 
Date : 12/2015 Transfer Status : Wire Transfer Confirm Merchandise Amount : £233.00 Euro Transport Charge : Included Tax Charges : Not included Order Total : £233.00 Euro The money will be transferred into the following name and account details below You have a new e-Transfer from Nordea Bank Credit Card - Bank of 	Nordea 	plc®Platinum Plus : Account Holder Name ********* Bank Name ****** Account Number Swift code Iban Number Country Finland Important Notice : It may take a few moments for this transaction to appear in the Recent Activity list on your Account once the shipment Details as been receive from you and confirmed , Once payment has been made it is irreversible and already stated for transfer . 
Send an email to us at 	Nordeabank@europe.com 	, Fax : +358 9 675 54500 THANKS FOR USING NORDEA BANK . 
Send an email to us at Nordeabank@europe.com , Fax : +358 9 675 54500 THANKS FOR USING 	NORDEA 	BANK . 
This warning is from Federal Bureau of Investigation in co-operation with 	Nordea 	Bank , so we give you the grace of 24 Hrs for you to ship out the item or else you will face the consequences . 
MFSD Editor , 	Nordea 	Bank , Monetary and Financial Statistics Division , Date E xc 
hange and Aleksanterinkatu 36 B Helsinki FI-00020 	Nordea 	, 
Se on capinautin eikä minun 	Nordean 	tilinnumero , joka on julkinen . 
Lisäksi muistan , että kun klubi haki työntekijöitä , hakijana oli erään 	Nordea-pankin 	kehitysjohtaja , muistaakseni nimeltään Jukka Sxxxx Heidän jos keiden olisi pitänyt tietä ja varmistaa klubin toiminnan laillisuus Tällaisilla henkilöillä kun on kaikki mahdolliset rekisterit ja verkostot käytettävissään ko. tiedon hankintaan ja varmistamiseen , toisin kuin meillä tavallisilla tallaaj illa . 
menetti Nokian – 150 työntekijää uhkaa potkut 20.3 Nansolla taas yt : t käyntiin - vähennystarve julma : 466 henkilöä 25.3 Finnlines-tytär lopettaa Kotkassa – 36 irtisanotaan 25.3 TS : Turun Sanomat aloittaa yt-neuvottelut – 25 vähennetään 26.3 TS : Työterveyslaitos vähentämässä taas 50 työpaikkaa 27.3 Marimekko irtisanoo 22 työntekijää 27.3 Finnairilta raju pommi : “Vähennystarve 680 henkilöä” 31.3 8 Anttilaa kiinni , yt : t Kodin1 : ssä - vaakalaudalla 455 työpaikkaa 31.3 Stora Enso sulkee PK1-paperikoneen Kemissä – 88 saa lähteä 1.4 S-Pankki irtisanoo 38 työntekijää 2.4 Sonera aikoo vähentää väkeä asiakaspalvelusta - 80 työntekijää 2.4 	Nordea 	aikoo vähentää jopa 300 työpaikkaa Suomesta 3.4 Yle : Anvia vähentämässä 80 työpaikkaa 3.4 Pentik aloittaa yt-neuvottelut 9.4 Itella aloittaa taas yt-neuvottelut - Vajaa sata joutuu lähtemään 9.4 Paakkola Conveyors konkurssiin - 70 menettää työnsä 9.4 Nyt potkii Patria : 110 ulos 9.4 Abloy irtisanoo melkein puolet Kemiönsaaressa 14.4 Kaupunginhallitus vahvisti : Lahti aloittaa yt-neuvottelut välittömästi 15.4 Nyt tuli tulosvaroitus Almalta - yt-neuvottelut käyntiin 15.4 Jopa Hullut Päivät petti – Stockmann aloittaa jätti-yt : t - jopa 330 voidaan irtisanoa 15.4 Katalysaattorivalmistaja Ecocat aloittaa yt-neuvottelut - tuotantoa Kiinaan 16.4 Aalto-yliopisto voi irtisanoa jopa 130 henkilöä 17.4 Raisioagro aloittaa yt-neuvottelut 50 työpaikan vähennyksestä 17.4 Vaasan Oy aloittaa yt : t leipomotoiminnoissa – pahimmillaan 93 vähennetään 23.4 Sanoma Lehtimedia aloittaa yt-neuvottelut – 20 voidaan irtisanoa Onneksi olemme eu : n kovassa ytimessä , eu : n myötä saamme lisää työpaikkoja ja paremmat palkat . 
Jos esim. neljä suurinta pankkia ( OP , 	Nordea 	, Danske ja S-pankki ) tekisivät tiedonvaihtoa asiakkaista , niin se ei olisi mikään tietovuoto . 
OP-asiakkaan asiat eivät tulisi 	Nordean 	tietoon muuta kuin sillä , että asiakas itse menee toisen pankin palvelua hakemaan vaikka vakuutustuotteen kautta jolloin tietyt asiat tarkistetaan . 
Junnu tatuoihtee tällä hetkellä torikatu 13 filmtownin vieressä , 	nordeaa 	vastapäätä . 
En ole päässyt A-kirjainta pidemmälle , mutta nyt jo ihmettelen mitä 	Nordean 	yksityispankkiiri eli sijoitusjohtaja tekee tällä listalla . 
No enpä 	Nordeasta 	vaihtaisi Ilmailulaitokselle . 
	nordea 	boston - --&gt ; Iltalehteä ja Ilta-Sanomia pääsee myymään R-kioskilla , ruokakaupoissa ja muissa kojuissa . 
Buusteri , köyhä firma , meidän rikas , omistamma , mm 	Nordeaa 	
Nykyrahassa tuo 	Nordean 	laskurin mukaan olisi 1950eur/kk . 
Kartoitan vähän työharjoitteluvaihtoehtoja ja nyt mietin , että minkä suuruinen on 	Nordean 	työharjoittelukorvaus ? 
Mikäli joku on esimerkiksi tänä vuonna ollut 	Nordealla 	korkeakouluharjoittelijana niin millainen tuo korvaus oli ? 
http://www.nordea.com/Ura/Tietoa+opiskelijoille/Ty%C3%B6harjoittelu/781612.html# Luulisi jonkun 	Nordean 	työntekijän nähneen tämän ketjun viim . 
Jos ei sen vertaa viitsi itse kysyä 	Nordealta 	, että paljonko on se korkeakouluharjoittelijan palkka . 
Maksoin tilauksen etukäteen 	Nordean 	verkkopankin kautta . 
Maksoin Moneybookersin kautta 	Nordean 	verkkopankilla . 
3. Maksu välilehdellä on pelkästään SKRILL ( MONEYBOOKERS ) vaihtoehtona , ja kun ei ole SKRILL-tiliä , niin maksu vaihtoehtoina on 	Nordea 	tai Luottokortti . 
Kotivakuutus kyllä korvaa aina , jos vakuutusta ei ole pohjolassa tai 	nordeassa 	, 
Tallinnassa ruotsalaiset pankit Seb-bank ja SEB= Sakandinaviska Enskilda Banken ja sitten on 	Nordea 	ja myös Danskebankki . 
Ne pankit eivät kyllä ole tasoltaan yhtä luotettavia kuin nämä isot ruotsalaiset pankit ja 	Nordea 	, mutta kyllä kymppitonnin luokkaa olevia rahoja voi niissäkin pitää . 
Nyt on kyllä vakaassa harkinnassa paluu 	Nordeaan 	, kun Tapiola pankki yhdistyy s-pankkiin . 
Voihan tuolla Win95 : lla muuten vain surffailla netissä omalla vastuulla , mutta ainakaan 	nordean 	verkkopankkiin sillä ei pääse : http://www.nordea.com/Palvelut/Kansainv%C3%A4liset%2Btuotteet%2Bja%2Bpalvelut/Yrityksen%2Bverkkopankki/Tekniset%2Bvaatimukset/10 1982.html 
No mä varaan 	Nordeasta 	ajan lainanhakua varten ! 
Itse aikoinaan hoidin 	nordeassa 	olleen lainan säntillisesti uo:sta huolimatta ( äiti takaajana ) ja kertoivat tämän vaikuttaneen positiivisesti lopulliseen lainapäätökseen pankissani . 
Meillä oli 	Nordeassa 	niin , että lainapaperit allekirjoitettiin käytännössä ensimmäisen erän noston yhteydessä . 
Itsellä kokemusta vain Elloksesta ja 	Nordeasta 	, 
Nyt kun 	Nordean 	lainakin on maksettu takaisin , olen päättänyt että en enää sido käsiäni monivuotisilla lainaohjelmilla . 
Ja huomioksi , että myös 	Nordea 	ja Teliasonera ovat ulkomaisia osakkeita . 
Yllätys yllätys 	Nordean 	pankin nettipalvelussa tiliotteet eivät enää näy kuin 27.11.2009 asti . 
No nyt vain täytyy 	Nordeasta 	saada maksutositteet ja se ei taida olla ilmaista touhua se . 
	Nordea 	Finans Sverige/Collector Credit AB perii saatavaa , joka on kyllä aivan omituinen . 
Laita Laita siihen " Tapahtumat ajalta " sopiva aikaväli 	Nordean 	verkkopankissa ja paina HAE . 
Collector Credit AB on 	Nordean 	alainen eli Nordea omistaa sen . 
Collector Credit AB on Nordean alainen eli 	Nordea 	omistaa sen . 
Collector Credittiä ei todellakaan omista 	Nordea 	, 
Kai se on ensin s-postilla kysyttävä ja jos ei selvii ni 	nordeaan 	lähettävä ja jos ei selvii ni kuluttaja-asiamiehelle . 
Ja toinen jännä juttu tossa on että välillä vaihtuu saaja laskuissa ja se on 	NORDEA 	FINANS AB !! 
( jännä juttu että sekin on 	nordea 	finans ab . 
Sain joitakin kuukausia sitten 	Nordeasta 	kirjeen , joka vihjasi sijoittamiseen ja siitä sai käsityksen , että olisi ollut tili Nordeassa . 
Sain joitakin kuukausia sitten Nordeasta kirjeen , joka vihjasi sijoittamiseen ja siitä sai käsityksen , että olisi ollut tili 	Nordeassa 	, 
Tosin pankkipalvelut ovat 	Nordeassa 	osan päivää , oliko niin , että rahaa voi tallettaa ja nostaa tiskiltä ennen kello 13.00 
	Nordean 	rahastusyhtiölä on 5e/erä tilinhoitomaksua ja yli 20e menee korkoihin . 
	nordea 	laittoin 1000 euron luottokortin perintään 11 päivää liian myöhään maksetun laskun takia . 
En ihan ymmärrä näitä laina-asioita kunnolla ja kysymykseni saattaa olla vähän tyhmäkin , mutta : Asuntolainaani lyhentelen ja 	Nordealla 	on Lyhennysjousto ominaisuus : " Kun otat asuntolainaasi LyhennysJouston , voit pienentää tai suurentaa lainasi lyhennyksiä tai jättää niitä väliin kysymättä meiltä . 
	Nordealle 	kyseinen ominaisuushan olisi siis vain tappiollinen jos ihmiset pääsisivät maksamaan lainaansa nopeammin ja korkoja kiertyisi pankille kaavailtua vähemmän . 
	nordeaa 	samaa puljuu olette myös gollectorin uhkailun osaava pulju 
Se on kait 	nordean 	juttu ? 
Kauppa on periaatteessa aina osamaksusopimus niinkuin 	Nordean 	tai OP rahoituksenkin jutut .. 
pankki suostuu antamaan lainan vain miehen nimiin juuri avioehdon takia ( toisessa pankissa ei edes välitetty koko asiasta ) pankit : 	nordea 	ja osuuspankki Ja tiedän , että kaikki marmattavat töihin menosta mutta en siihen kykene ( ainakaan juuri nyt ) . 
	nordean 	laina sivuilla oli kysymyksiä liana ottajalle , selvätkö lainastasi joka tilanteessa , lama aikana pankeissa oli bulvaaneja jotka sitten ostin halvalla näitä realisoitvai asuntoja , pankin johtajaa ei kiinnosta sun raha asiat vaan pankin , sitten firmoja ajteeiin konkurssiin koska siten pankin sai tukiaisia , kaikenlaiset haaskalinnut kimpussa jossei selviäkään lainastaan . 
	Nordea 	ja Sampo antavat tilille luottolimiittiä , eli toisin sanoen voit vetää tilisi miinukselle . 
	Nordealla 	tämä kuuluu check-in pakettiin ( 500e ) ja Sammolla opiskelijan tukipakettiin ( 200e ) 
Oma 	Nordeassa 	kortin ja tunnuksen saaminen kesti noin 2 viikkoa . 
	Nordeassa 	joo ei tule päätöstä kortin myöntämisestä , vaan se ilmestyy verkkopankkiin ja sen jälkeen menee vielä viikko - viiva- useita ja kortti tupsahtaa postiluukusta . 
Hain tuossa tiistaina rakennuslainaa 	nordeasta 	, 
Pankki 	Nordea 	, 
Säästöpankki , 	Nordea 	onhan niitä . 
me käytiin marras-joulukuun aikana sampopankissa , 	nordeassa 	ja osuuspankissa ( osuuspankki on ns. oma pankki ) , yksikään pankki näistä ei olisi myöntänyt 100% lainaa , vähintään 10% asunnon hinnasta tulee olla ja epäilivät , että ehdot tänä vuonna kiristyy entisestään . 
Meille 	Nordea 	olisi syyskuussa 2012 myöntänyt lainaa 5% : n omasäästöosuudella , nyt muutamaa kuukautta myöhemmin kun olimme tekemässä tarjousta yhdestä asunnosta tarvittiinkin 10% . 
	Nordeasta 	ei tippunut yhtänlainaa , Aktiasta oltaisiin saatu jos emäntä ei olisi ollut koeajalla ja sampopankista saatiin mutisematta . 
Tämä siis 	Nordeasta 	
Ei 	Nordea 	eikä OP vaatinut enempää , tai edes vihjaisseet suuremman omarahoituksen tarpeesta . 
	Nordealta 	250 000 ilman omaa rahaa , omaisuutta tai takaajia , ensiasunto . 
Nyt kuulemma ainakin 	Nordea 	on taas lähtenyt hieman löysäämään . 
Reilu vuosi sitten nauroivat meidät persaukiset 	Nordeasta 	pihalle omakotitalohaaveinemme , koska lainaehdot olivat kiristyneet , eikä meillä ole penniäkään säästöjä . 
Nykyisen asuntomme laina on juurikin 	Nordeasta 	, 
No ihan yllättäen päädyinkin tässä kuussa taas 	Nordeaan 	neuvottelemaan ihan toisenlaisista ratkaisumahdollisuuksista ahtaan asuntomme suhteen ja kuinka ollakaan ... 
	Nordea 	pankki möi vipu/johdannais tuotetta ikääntyneelle ihmiselle miljoonalla eurolla eläkerahastoksi . 
Jos laitan tuon oma luottokiellon niin voinko tilata iherbistä ja maksaa 	nordean 	visa-electron kortilla ? 
Onko muita joilla on sama kokemus , että 	Nordea 	muuttaa mitään ilmoittamatta asuntolainan numeroa ? 
Mitä jos kysyisit sieltä 	Nordeasta 	?!? 
	Nordean 	perusteellinen vastaus oli " että sisäisistä käytännöistä johtuen lainojen numerot on uusittu " . 
Luultavasti 	Nordea 	ilmoittaa niin kuin tähänkin asti , että kyseessä on ensiasunnon laina . 
Ei 	Nordea 	sitä ilmoittanut ensimmäiselläkään kerralla , vaan itse se piti korjata nettiin ... 
Kyllä 	Nordea 	ilmoittaa . 
Selvisi että 	nordeassa 	( tai autoliikkeessä ? 
Ainakin 	Nordea 	ja op lupaa että lainaamme loput .. 
Näin uskoo 	Nordea 	, joka ennakoi Fortumin luottoluokituksen voivan laskea myynnin seurauksena . 
	Nordean 	mielestä huhu tuskin on tuulesta temmattu , mutta toteutuessaan kaupat voisivat heikentää Fortumin luottoasemaa . 
S&P:llä ja Fitchillä se on A- ja Moody ' silla A2. 	Nordean 	mukaan Fortumin on luokituksensa pitääkseen alennettava nettovelkaantumisastettaan huomattavasti . 
Kysymys onkin , miten Fortum aikoo tasapainottaa kasvuhalunsa ja osakkeenomistajien vaatimukset velkatavoitteidensa kanssa pitääkseen myös luottoluokittaja tyytyväisenä " , 	Nordea 	kirjoittaa raportissaan . 
	Nordean 	mukaan riskit Fortumin luottoluokituksen laskuun kasvaa . 
Mahdollisuus luokituksen laskuun pykälällä ovat 	Nordean 	mukaan olemassa . 
Ylipainota : Amer , Huhtamäki ja 	Nordea 	Alipainota : Elisa , Fortum , Metso , Neste , Orion , Outotec Pidä : kaikki muut http://www.arvopaperi.fi/data/OMXH25/ Harmi , että edelliset suositukset hävisivät saman tien . 
Hei , Kommentteja myös mun salkusta Huhtamäki 1292 kpl 	Nordea 	780 kpl Metso 350kpl Valmet 350 kpl Nokia 750kpl UPM-kymmene 650 kpl Outokumpu 50.000 kpl Fortum 120 kpl Salkun arvo n 70tEUR ( ja laseknnalisesti olen nyt voitolla n.30t EUR ) 
Minulla on seuraavat : Aktia 500kpl elisa 340 kpl fortum 200kpl Nesteoil 230 Nokia 400 Renkaat 171 	Nordea 	800 Orion B 230 UPM 230 Vaisala 100 Valmet 650 Yhteensä 50466e . 
Hanki Sampoa ja 	Nordeaa 	mukaan salkuusi . 
Pidä/osta lisää YIT , Fortum , Nokia ja uutena 	Nordea 	
Lisäksi Konetta , Konecranesia , Sampoa , 	Nordeaa 	, Wärtsilää Yit/Caverionia , Huhtamäkeä , Fortumia , Neste Oilia , Upm:ää . 
	Nordean 	ja Teliasoneran osingoista ottaa Ruotsin valtio 15 % lähdeveron . 
no ainakaan 	Nordeassa 	ei tarvi maksaa osakkeiden pitämisestä , jos on avainasiakas eli säästöjä ja rahaa tai lainaa väh . 
mikä on viimeisin huhu 	Nordean 	tulevista osingoista ? 
Jokin aika sitten hehkutettiin että 	Nordealta 	voisi tulla jopa 1 , 5€ ylimääräinen osinko , onkohan tuo jo laskettu mukaan nykyiseen kurssiin vai voisiko kurssi pompata tuon verran jos tuollainen osinko luvattaisiin antaa ? 
Jos 	Nordea 	maksaisi osinkoa 1 , 5€ / osaken , niin osakkeen hinta laskisi 1 , 5€ / osake maksun yhteydessä . 
	Nordea 	on muutamat viime vuodet jakanut vähemmän osinkoa nostaakseen vakavarausastettaan . 
Nyt tavoitteet ovat täyttymässä ja 	Nordea 	pystyy maksamaan suuremman osuuden tuloksestaan osinkoina . 
" - Koskee varmaan siis myös 	Nordeaa 	! 
Osuustodistuksia on yhteensä 67 400 kappaletta , joista 	Nordea 	omistaa 27 prosenttia , OP-Pohjola 17 prosenttia ja Danske Bank 9 prosenttia . 
	Nordea 	on käytössä suomessa . 
	Nordean 	kauttakin voit ostaa osakkeita Ruotsista . 
	Nordean 	alkaen-välityspalkkio Tukholmaan on itse asiassa hieman alhaisempi kuin Nordnetissa . 
Kauppaa käyn 	Nordea 	pankissa . 
Jos kuitenkin aloittaisin osakesijoitamisella mitä mieltä olette näistä osakkeista tällä hetkellä Teliasonera , Kone , Fortum , 	Nordea 	, Aktia , Orion ... 
Nokia 	Nordea 	Sampo UPM Cargotec Kone Ponsse Revenio Minkälaisia ajatuksia , ehdotuksia , kritiikkiä ? 
Ehdotus : Kone , Metso , Orion , Wärtsilä , Elisa , miksei myös 	Nordea 	tai Valmet . 
Streamerit ja on-line kurssit minulla on käytössä ja 	Nordean 	& Nordnetin paketit löytyvät ja niitä olen seurannut erittäin aktiivisesti 4-5vuoden ajan . 
Myös 	Nordean 	PrivateBankin työkalut minulla on käytössä , mutta sitä kyllä vaivaa edelleen kivijalkaisuus , hintatason ollessa alimmillaa lähellä Nordnettiä . 
Tänään uutisissa : " 	Nordean 	mukaan talouden elpymien pakenee jälleen ja se laskee ennustettaan lähivuosien talouskasvusta . 
	Nordea 	olisi tuon listan mukaan suosikki ( pisteytys 1,42 ) ja Outokumpu epäsuositeltavin ( 2,50 ) . 
	Nordean 	osake on kohta 10 euroa . 
Nokia , Biohit , 	Nordea 	, Nordic Mining , . 
Ei nyt sentään 	Nordea 	ihan tuplaa tai triplaa tms. Ostin Nordeaa silloin kun se oli alle 6,00euroa . 
Ei nyt sentään Nordea ihan tuplaa tai triplaa tms. Ostin 	Nordeaa 	silloin kun se oli alle 6,00euroa . 
Täytyy olla melkoinen guru , jos tietää enemmän jostain osakkeesta kuin Goldman Sachs , Deutsche bank , Morgan stanley , 	Nordea 	, Pohjola , Barclays ja Merrill Lynch , jotka ovat kaikki olleet nettomyyjiä lähiviikot . 
Nettomyyjinä on olleet 	Nordea 	, Danske , Nordnet ja Pohjola . 
Taloussanomat : http://www.taloussanomat.fi/porssi/2014/07/04/unelias-helsinki-odottaa-tuloskauden-vipinaa/20149395/170 " 	Nordea 	laski energiayhtiö Fortumin osakkeen suosituksen tänään tasolle ”vahva myy” aiemmalta ”myy” - tasolta , mutta piti osakkeen tavoitehinnan ennallaan . 
	Nordean 	mukaan pienetkin merkit korkojen noususta voivat saada sijoittajat hylkäämään Fortumin kaltaiset viime aikoina kallistuneet osakkeet . 
100,000 eur ) ajankäyttöä ajatellen liian paljon yrityksiä : Amer Sports Caverion Corporation Fortum Kesko B Kone B Konecranes Metso Nokian Renkaat 	Nordea 	Bank FDR Oriola-KD B Outokumpu Outotec Rautaruukki K Sampo A Sanoma Plc ' Stockman B Stora Enso B TeliaSonera FDR TietoCorporation Valmet Corporation YIT-yhtymä Minkäköhän yrityksen osakkeita kannattaisi myydä maalis-toukokuun osinginjakojen jälkeen , jos myisin n. 10-12 firman osakkeet kokonaan pois ? 
Tämä salkku syntyi , kun olin 	Nordean 	Private Banking-asiakas . 
Eli 	Nordea 	tavallaan " turha " koska omistat sitä jo tuon Sammon kautta . 
	Nordeaa 	voisi vielä jossain vaiheessa alkaa ostamaan . 
Laita kuule kaikki 	Nordean 	Bull sertifikaatiin vivulla ja rukoile ... 
Jos vaihtoehdot olisi a ) pitää tai b ) myydä ja ostaa tilalle 	nordeaa 	niin kumpaa suosittelisitte ? 
Almat on nyt myyty ja 	nordeat 	tilalla . 
http://www.kourallinendollareita.com/search?updated-min=2014-01-01T 00:00 : 00%2B 02:00 &updated-max=2015-01-01T 00:00 : 00%2B 02:00 &max-results=1 Voi vittu mulla oli saatana aikasemmin 1500 talvivaara ja ne on vitun 22 prosentti pakkasesas T ' nään ostin 10 	nordea 	bank ab ku oli se vitun ostosuositus ja saatana mini loputkin vitun rahat ku laski vitusti saatana koko vitun pörssi on pakkasella vituttaa aivan vitusti työntäkää koko pörssi perseeseen omapa on ongelmasi kun ostit talvivaaraa mikä persaukinen olet kun ostit osakkeita 200 eurolla ? 
Talvivaaran velkojien puolella 	Nordea 	on suuressa roolissa . 
	Nordean 	kautta on myös romahduksen jälkeen ostettu huomattavan paljon osakkeita . 
Luonnollisesti saneerauksessa 	nordea 	junailee hyvän etuaseman ja saa ennätysajassa omat velkasijoitukset takaisin . 
Jos sinulla tili 	Nordeassa 	, niin sen osakkeita ostettuasi ei tunnu asuntolainan marginaali tms. kulut enää pahalta . 
Kannattaa muistaa myös , että Helsinginkin pörssissä noteerattavat 	Nordea 	ja TeliaSonera ovat ruotsalaisia yhtiöitä . 
Osta 	Nordeaa 	jos et pikavoittoja hamua ... 
Yksittäisistä Suomalaisista osakkeista ostaisin 	Nordeaa 	, ulkomaisita REIT-rahastoja tai jotain tylsää perusreittia USA:sta esin Hatteras . 
